,id,name,gender,available,registration,dob,mainPhoto,desc
0,1,Gloria,False,True,AKC,1970-01-01,cofffe.jpg,a dog
1,2,Iris,False,True,AKC,1970-01-01,placeholder.jpg,
2,3,Joanne,False,True,AKC,1970-01-01,placeholder.jpg,
3,4,Black Babbee,False,True,AATR,1970-01-01,placeholder.jpg,
4,5,Cemone,False,True,AATR,1970-01-01,placeholder.jpg,
5,6,Onyx,False,True,AATR,1970-01-01,placeholder.jpg,
6,7,Alyce,False,True,AKC,1970-01-01,placeholder.jpg,
7,8,Connie,False,True,AKC,1970-01-01,placeholder.jpg,
8,9,Virginia,False,True,AKC,1970-01-01,placeholder.jpg,
9,10,"Gringo Miguel ""White Boy Mike""",True,True,AATR,1970-01-01,placeholder.jpg,
10,11,Renegade,True,True,AKC,1970-01-01,placeholder.jpg,
11,12,Apache Jr. [JR],True,True,AKC,1970-01-01,placeholder.jpg,
12,13,Hank,True,True,AKC,1970-01-01,placeholder.jpg,
13,14,Monty,True,True,AKC,1970-01-01,placeholder.jpg,
